"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SquantorTexasInstruments-HTSSOP-28";1;"DRV8313";;;
2;"R3,R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"10kΩ";;;
3;"LOGO4";"SONY_CSL_LOGO";1;"SONYLOGO";;;
4;"LOGO3";"ROMI_LOGO";1;"ROMI";;;
5;"LOGO2";"fablab";1;"fablab";;;
6;"LOGO1";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"Logo_Open_Hardware_Small";;;
7;"C6,C5,C3,C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"0.1uF";;;
8;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.01uF";;;
9;"H6,H3,H4";"MountingHole_2.7mm_M2.5_uHAT_RPi";3;"MountingHole";;;
10;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
11;"J8";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";1;"Screw_Terminal_01x03";;;
12;"C4";"CP_Radial_D8.0mm_P3.50mm";1;"100uF";;;
13;"J6,J5,J4";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";3;"Screw_Terminal_01x02";;;
14;"U1";"Converter_DCDC_Murata_OKI-78SR_Horizontal";1;"OKI-78SR-5_1.5-W36-C";;;
15;"AC1";"Adafruit-LSM6DSOX-PCB";1;"ACCEL";;;
16;"A1";"Adafruit_Feather";1;"Adafruit_Feather_M0_Express";;;
17;"J1";"PinSocket_2x20_P2.54mm_Vertical_Centered_Anchor";1;"GPIO_CONNECTOR";;;
