Comment,Designator,Footprint,LCSC
"Adafruit_Feather_M0_Express","A1","Module:Adafruit_Feather",""
"ACCEL","AC1","fab:Adafruit-LSM6DSOX-PCB",""
"0.01uF","C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28233"
"0.1uF","C1,C3,C5,C6","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C14663"
"100uF","C4","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"MountingHole","H3,H4,H6","lib:MountingHole_2.7mm_M2.5_uHAT_RPi",""
"GPIO_CONNECTOR","J1","lib:PinSocket_2x20_P2.54mm_Vertical_Centered_Anchor",""
"Conn_01x06_Male","J3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Screw_Terminal_01x02","J4,J5,J6","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"Screw_Terminal_01x03","J8","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",""
"Logo_Open_Hardware_Small","LOGO1","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen",""
"fablab","LOGO2","logos:fablab",""
"ROMI","LOGO3","logos:ROMI_LOGO",""
"SONYLOGO","LOGO4","logos:SONY_CSL_LOGO",""
"10kΩ","R1,R2,R3","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"OKI-78SR-5_1.5-W36-C","U1","Converter_DCDC:Converter_DCDC_Murata_OKI-78SR_Horizontal",""
"DRV8313","U3","SquantorTexasInstruments:SquantorTexasInstruments-HTSSOP-28","C92482"
